#, Source, Destination, Nb sommets traités classique, Nb sommets traités bidirectionnel
625,1241,981,2155,804
626,7069,6425,1719,1473
627,7894,2884,4922,2149
628,5099,9252,6963,4840
629,2971,537,1831,961
630,364,3246,6336,3830
631,5056,1274,8382,5334
632,1021,4000,1293,498
633,1624,4030,5294,3756
634,5711,5659,4814,3501
635,9859,7204,8498,5340
636,9103,6244,6766,4657
637,5773,8145,9227,5660
638,2020,9532,6359,4348
639,9108,7316,3430,1860
640,4818,8427,8876,7059
641,1207,6392,7908,4559
642,1739,8825,2112,1432
643,329,8181,6329,4598
644,213,3913,2212,1073
645,4901,1475,8669,6445
646,5943,8514,7080,6106
647,6236,9741,4524,2998
648,8077,9338,1008,539
649,1161,5694,521,267
650,7115,4625,8699,5469
651,6614,3626,6576,3530
652,4093,7016,481,310
653,4616,299,476,262
654,477,6957,4739,2414
655,1796,9687,831,422
656,7214,9748,377,270
657,1429,474,3533,2329
658,6965,6627,397,254
659,8166,3126,461,222
660,7816,3466,5482,2929
661,3513,1875,3917,2541
662,1198,5501,9847,7098
663,8314,9796,266,134
664,7830,4895,7051,4996
665,2414,8,4609,3677
666,1284,4941,4901,3556
667,7589,3337,8527,4031
668,4246,1044,1216,778
669,1438,7045,1835,1234
670,8805,3872,7981,5773
671,3994,3079,4939,3073
672,9462,1586,8375,4635
673,1592,4770,8774,7003
674,1504,3884,7557,2941
675,5712,7097,511,292
676,5160,5148,6126,4250
677,6555,3117,4272,2653
678,5704,8756,8594,7125
679,7615,9507,2985,2079
680,6414,8898,9458,6970
681,8105,3121,1852,1055
682,3744,7873,6648,5406
683,9571,6390,1029,572
684,5198,9450,9769,7042
685,7717,8019,7263,3961
686,7744,584,9589,5846
687,7079,8618,6350,3773
688,9390,103,6291,4882
689,9060,5617,4044,1797
690,494,7048,2661,1347
691,2123,1379,5834,3131
692,9096,5780,3303,1746
693,7279,6435,1321,690
694,7222,2234,2660,1529
695,5487,558,2422,1324
696,2183,2487,1944,1753
697,2319,9740,5142,4508
698,9874,6721,1119,542
699,1653,3154,5973,4193
700,6120,3568,3567,1818
701,512,7864,5613,4237
702,4738,1257,3102,2208
703,3969,130,8448,4807
704,4682,4057,6419,4196
705,622,3005,5014,4012
706,5125,8682,6990,5282
707,4220,440,6350,5606
708,6653,5093,1554,1147
709,9642,6300,3305,2950
710,5853,6116,8950,7262
711,8061,1609,1645,815
712,3430,5506,5283,4659
713,9749,3406,6778,4132
714,7871,9074,2572,1512
715,5294,2324,6555,4212
716,8841,5721,7783,5965
717,6482,5208,7613,4365
718,4640,6089,2946,2494
719,1084,4628,5111,4455
720,2269,267,1474,689
721,232,3321,5653,4552
722,5288,8375,2344,1137
723,4790,2043,1403,782
724,859,3955,8982,5495
725,2126,7545,190,156
726,3922,8918,4074,2744
727,6957,4935,8379,6349
728,8559,9880,3491,2809
729,3613,634,2190,1111
730,3722,824,3303,2882
731,4435,4751,2128,1445
732,6773,9337,9858,6778
733,2737,1592,2888,1396
734,7757,6042,7986,4523
735,4060,9684,4466,2186
736,9340,9473,328,188
737,7976,4746,7246,4335
738,5164,7955,3985,1866
739,4431,466,2298,2052
740,1750,4722,9850,6556
741,7424,2560,2129,1728
742,6008,3891,6634,4399
743,8036,4526,3167,1785
744,3253,3339,451,226
745,1244,9556,8377,5215
746,6503,2694,4082,2573
747,6407,743,5108,4304
748,6160,5876,2404,1570
749,4448,539,6237,3549
750,1917,9265,9094,5811
751,7827,5878,6885,3883
752,9419,8863,3188,1369
753,4080,1955,3444,3076
754,1668,2145,9697,7385
755,5224,4896,309,214
756,5330,4598,5104,2892
757,7092,1285,4640,3787
758,5540,2737,1950,1344
759,7446,3808,657,384
760,238,4385,3042,2248
761,2807,1489,6071,4970
762,970,4882,4471,3080
763,9247,3199,9143,3579
764,9965,1087,4798,3154
765,2003,9414,3491,2159
766,9989,65,3214,2699
767,3144,6142,8876,6873
768,3838,265,3819,3344
769,8741,2649,8617,3274
770,5012,1638,3325,1868
771,3495,9304,8545,6565
772,418,7476,3125,2078
773,5711,442,6239,3895
